product_id,industry_id,exposure_score,rank
0,16194,24,920.0
0,16095,35,559.0
0,16090,6,1986.0
0,16069,8,1861.0
0,16669,31,665.0
0,16099,29,731.0
0,16531,32,645.0
0,16186,33,616.0
0,16438,18,1176.0
0,16449,261,94.0
0,16186,264,89.0
0,16449,19,1116.0
0,16244,34,573.0
0,16666,44,394.0
0,16179,58,299.0
0,16186,58,300.0
0,16386,58,301.0
0,16186,262,93.0
0,16266,7,1925.0
0,16394,7,1926.0
0,16101,63,287.0
0,16200,63,288.0
0,16368,63,289.0
0,16662,27,794.0
0,16186,42,427.0
0,16102,30,699.0
0,16102,15,1353.0
0,16446,19,1117.0
0,16048,35,560.0
0,16319,23,947.0
0,16446,9,1788.0
0,16089,15,1354.0
0,16218,7,1927.0
0,16416,6,1987.0
0,16307,4,2106.0
0,16138,27,795.0
0,16306,27,796.0
0,16648,27,797.0
0,16116,11,1641.0
0,16121,108,199.0
0,16134,22,986.0
0,16515,8,1862.0
0,16319,1,2264.0
0,16323,17,1231.0
0,16712,4,2107.0
0,16396,5,2050.0
0,16730,42,428.0
0,16120,77,257.0
0,16120,29,732.0
0,16121,4,2108.0
0,16121,2,2199.0
0,16213,17,1232.0
0,16215,17,1233.0
0,16214,16,1298.0
0,16740,4,2109.0
0,16210,2,2200.0
0,16212,2,2201.0
0,16211,21,1030.0
0,16213,21,1031.0
0,16210,22,987.0
0,16213,22,988.0
0,16443,15,1355.0
0,16140,16,1299.0
0,16163,16,1300.0
0,16164,16,1301.0
0,16140,14,1429.0
0,16123,7,1928.0
0,16123,18,1177.0
0,16694,9,1789.0
0,16124,11,1642.0
0,16446,20,1081.0
0,16583,23,948.0
0,16126,8,1863.0
0,16604,1,2265.0
0,16117,9,1790.0
0,16167,135,181.0
0,16167,98,215.0
0,16706,13,1492.0
0,16361,18,1178.0
0,16446,34,574.0
0,16446,30,700.0
0,16244,4,2110.0
0,16262,31,666.0
0,16244,108,200.0
0,16107,21,1032.0
0,16244,111,196.0
0,16233,106,201.0
0,16255,106,202.0
0,16244,9,1791.0
0,16244,15,1356.0
0,16744,26,836.0
0,16484,11,1643.0
0,16174,29,733.0
0,16355,14,1430.0
0,16522,25,873.0
0,16522,14,1431.0
0,16194,34,575.0
0,16522,34,576.0
0,16583,16,1302.0
0,16581,24,921.0
0,16599,42,429.0
0,16599,23,949.0
0,16637,6,1988.0
0,16111,129,186.0
0,16088,18,1179.0
0,16090,18,1180.0
0,16116,3,2150.0
0,16117,1,2266.0
0,16118,1,2267.0
0,16117,13,1493.0
0,16117,1,2268.0
0,16306,1,2269.0
0,16171,13,1494.0
0,16651,1,2270.0
0,16085,8,1864.0
0,16085,13,1495.0
0,16159,18,1181.0
0,16774,8,1865.0
0,16424,11,1644.0
0,16187,29,734.0
0,16678,20,1082.0
0,16194,27,798.0
0,16660,12,1571.0
0,16572,3,2151.0
0,16576,2,2202.0
0,16463,3,2152.0
0,16519,3,2153.0
0,16222,38,499.0
0,16159,33,617.0
0,16150,28,762.0
0,16589,27,799.0
0,16588,54,321.0
0,16198,33,618.0
0,16198,56,310.0
0,16586,56,311.0
0,16589,31,667.0
0,16198,32,646.0
0,16104,31,668.0
0,16325,14,1432.0
0,16484,26,837.0
0,16133,10,1720.0
0,16456,5,2051.0
0,16456,4,2111.0
0,16456,2,2203.0
0,16456,3,2154.0
0,16458,6,1989.0
0,16456,11,1645.0
0,16485,16,1303.0
0,16159,5,2052.0
0,16372,30,701.0
0,16041,15,1357.0
0,16446,31,669.0
0,16450,55,315.0
0,16671,5,2053.0
0,16153,2,2204.0
0,16732,6,1990.0
0,16209,7,1929.0
0,16209,4,2112.0
0,16561,25,874.0
0,16559,9,1792.0
0,16078,5,2054.0
0,16078,34,577.0
0,16186,270,84.0
0,16513,270,85.0
0,16522,8,1866.0
0,16713,1,2271.0
0,16159,42,430.0
0,16159,13,1496.0
0,16446,16,1304.0
0,16446,89,232.0
0,16450,89,233.0
0,16450,28,763.0
0,16132,35,561.0
0,16592,10,1721.0
0,16154,84,244.0
0,16188,12,1572.0
0,16135,11,1646.0
0,16632,27,800.0
0,16425,22,989.0
0,16633,22,990.0
0,16446,31,670.0
