ticker_id,product_id,exposure_bucket
15026,12371,Low
15026,4479,Low
15995,13745,Low
15995,1581,Low
15995,3980,Low
15033,12286,Medium
15034,11616,Low
15034,1081,Medium
15034,10612,Medium
15018,1298,High
15118,1064,High
15118,4824,Low
15062,4770,High
15017,4351,Medium
15017,4363,Medium
15017,4357,High
15093,2725,High
15093,7144,Low
15019,8736,Low
15019,13382,High
15088,12582,Medium
15088,11542,Low
15088,1071,Medium
15088,2429,Low
15124,13650,Medium
15124,1642,Low
15124,1639,Medium
15111,10903,Medium
15089,4368,Medium
15089,4873,Medium
15089,14423,Low
15015,789,Low
15015,5418,Low
15015,6665,High
15032,5372,Medium
15106,902,Medium
15106,4552,Low
15106,10818,Medium
15106,13022,Low
15102,12705,Low
15102,12698,Low
15102,12683,Low
15020,9545,Low
15020,215,Medium
15020,8289,Low
15020,221,Low
15098,1067,Medium
15098,8320,Low
15098,1068,Low
15022,4556,High
15022,1073,Low
15112,7437,Low
15112,6657,High
15112,786,Medium
15090,3922,High
15023,12227,Low
15023,12229,Low
15023,13641,Low
15023,9865,Medium
15023,4475,Low
15116,11396,Low
15116,7014,High
15037,567,Low
15037,58,Low
15037,11136,Low
15037,3678,Low
15040,1284,Low
15040,1285,High
15084,14029,Low
15084,13292,Low
15084,6664,High
15041,9980,Low
15041,6131,Low
15041,696,Low
15455,14008,High
15042,13984,Medium
15042,13982,High
15043,5202,High
15043,6613,Low
15806,11396,High
15806,6770,Low
15806,14580,Low
15051,13354,Low
15051,7887,Medium
15051,7990,Low
15048,3178,High
15048,2478,Low
15290,6244,Medium
15290,2467,Medium
15027,11270,Low
15027,13546,Medium
15027,2160,Low
15047,7144,High
15047,9992,Low
15047,2725,Low
15122,10046,Medium
15122,10037,Medium
15122,6031,Medium
15049,10046,High
15052,7588,Low
15052,13381,High
15052,9323,Low
15066,11495,Low
15066,8181,Low
15066,11512,Low
15066,11496,Low
15109,899,Low
15109,6337,Medium
15109,6758,High
15109,897,Low
15104,1024,Medium
15104,648,Low
15104,3444,High
15105,7212,Low
15105,14393,Low
15105,7213,Low
15105,13201,Medium
15053,2725,High
15053,7144,Low
15058,5262,Low
15029,2890,Medium
15029,5196,High
15057,3323,High
15057,7701,Medium
15057,2271,Low
15059,13920,Medium
15059,13578,Low
15059,4892,Medium
15056,12251,Low
15056,4052,Medium
15056,4080,Medium
15060,2213,Medium
15060,3010,Low
15060,209,Low
15060,5340,Low
15431,8568,Medium
15431,14287,High
15431,6965,Low
15078,8567,Medium
15078,1286,High
15078,6936,Low
15036,3598,High
15030,12438,Medium
15030,4770,High
15046,13386,High
15046,2891,Low
15046,7597,Low
15076,12866,Low
15076,6012,Low
15076,5906,Medium
15050,789,High
15077,8494,Low
15077,8541,Medium
15077,1056,Medium
15054,14238,Low
15054,12496,Low
15054,9975,Low
15054,13615,Medium
15054,1245,Low
15079,6665,High
15080,13157,Medium
15080,6748,Low
15080,12661,Low
15080,14412,Low
15063,6020,Medium
15063,11628,Low
15063,3210,Medium
15223,219,Low
15223,1403,Low
15223,218,Low
15081,7587,Medium
15081,7209,Low
15081,11370,Low
15081,2267,Low
15061,5678,High
15117,12009,Low
15117,12140,High
15117,9137,Medium
15075,3716,Low
15075,13706,Medium
15065,11336,Low
15065,6342,Low
15065,12013,High
15099,2725,Low
15099,7144,High
15014,9911,Low
15014,12055,Low
15014,11452,Low
15014,1071,Low
15083,7171,Low
15083,10046,High
15846,1256,High
15846,14350,Low
15846,14327,Low
15107,471,Low
15107,516,High
15107,534,Low
15743,2751,Low
15743,1021,High
15743,11323,Low
15091,13814,Medium
15091,13813,Low
15091,9190,High
15024,6121,High
15024,8490,Low
15100,6665,High
15085,6664,High
15070,13361,Low
15070,3982,Low
15070,13803,Low
15055,5393,Low
15055,9713,Low
15055,6551,Low
15068,1464,Low
15068,9255,High
15068,964,Medium
15086,3279,Low
15269,5864,Low
15269,7703,Medium
15269,4685,Medium
15269,4652,Low
15103,11552,Low
15103,9250,High
15115,12153,Medium
15115,12155,Low
15115,4931,Medium
15067,2745,High
15113,7150,High
15113,2725,Medium
15087,6084,Low
15087,3729,Low
15087,4836,Low
15087,9963,High
15092,1866,Low
15092,5270,Medium
15092,12830,Low
15125,1372,Low
15125,1046,High
15095,3444,Medium
15095,7063,High
15096,2725,High
15094,3474,Medium
15094,2777,Medium
15101,14282,Low
15101,4351,High
15028,475,Low
15028,1675,Low
15028,1682,Low
15126,11870,High
15064,4568,Low
15064,9877,Low
15064,2405,Medium
15064,9856,Medium
15123,1055,Medium
15123,9624,Low
15123,8274,Low
15110,5399,High
15110,2857,Low
16024,2834,Low
16024,2836,Medium
16024,8116,Low
16024,7936,Low
15145,7508,High
14998,420,High
14998,13598,Medium
15127,5197,Low
15127,3481,High
15127,7043,Low
15128,13684,Medium
15128,3076,Medium
15128,8990,Low
15128,4558,Low
15144,5381,Low
15144,12641,Low
15144,2858,Medium
15144,5393,Low
15129,9952,Medium
15129,4290,Medium
15129,3752,High
15130,6665,High
15140,4352,Low
15140,4359,High
15140,4357,Medium
15138,13636,Medium
15138,2350,Low
15138,12158,Low
15138,4432,Low
15149,10036,Medium
15149,6031,Medium
15149,1567,Low
15141,5339,Low
15141,11311,Medium
15141,6323,Low
15141,11549,Medium
15152,11500,Low
15152,11499,Low
15152,8181,Low
15132,12665,Medium
15132,4351,Low
15132,4363,Medium
15168,6743,Low
15168,6745,Medium
15168,6747,Medium
15166,2725,High
15166,7144,Low
15167,12317,High
15167,4742,Low
15155,4256,High
15131,5339,Low
15131,10904,Medium
15131,7505,Low
15153,12485,High
15137,13298,Low
15137,14420,Low
15147,2913,Medium
15147,3518,High
15147,13675,Low
15164,231,Low
15164,1372,Low
15164,13361,Low
15139,2725,Low
15150,1025,Low
15150,6322,Low
15156,9943,Low
15156,1088,Medium
15156,10339,Low
15156,5992,Low
15143,4350,Low
15143,14580,Low
15143,1242,Low
15143,6331,Low
15151,1245,Low
15151,13574,Low
15151,2430,Low
15151,13626,Low
15160,1503,Low
15160,12062,Low
15160,1918,Medium
15133,8050,Medium
15133,208,Medium
15133,9465,Medium
15142,8180,Low
15142,11496,Low
15476,6092,High
15476,6086,Medium
15157,4475,Low
15157,11933,Low
15157,9228,High
15680,12492,High
15158,8291,Low
15158,5427,Low
15158,2411,Low
15158,6242,Low
15159,11439,Low
15159,11083,Medium
15161,8183,Low
15161,8212,Medium
15161,14036,Medium
15163,1400,Low
15163,2215,Medium
15135,10954,Low
15134,3260,High
15134,9052,Low
15134,237,Medium
15004,2313,Low
15169,13620,Low
15169,5471,Low
15165,14029,High
15170,6147,High
15170,4476,Medium
15186,2725,High
15186,7148,Low
15191,6089,Low
15191,7144,High
15193,6211,Low
15193,2264,Medium
15193,6286,Medium
15194,5388,Low
15194,3358,Medium
15194,5382,Medium
15201,3251,Low
15207,1550,Low
15207,10382,Medium
15207,11328,Medium
15207,1863,Low
15432,10203,Low
15432,2027,Low
15432,10236,Low
15432,10170,Low
15198,13659,Low
15198,1040,Medium
15198,12860,Low
15198,4598,Low
15769,9400,Low
15173,13130,Medium
15173,3009,Medium
15173,14241,Low
15174,416,Low
15174,12374,Low
15174,12390,Medium
15189,11737,High
15189,9975,Low
15203,5376,Low
15203,8100,Low
15203,993,High
15177,688,Medium
15177,14133,High
15195,7887,Low
15195,8822,Low
15466,6664,Medium
15466,5039,High
15179,7197,Low
15179,13830,High
15183,7286,Low
15183,6123,Low
15183,5930,High
15182,8242,Low
15182,11492,High
15944,14012,High
15192,3898,High
15192,6099,Low
15192,9284,Medium
15590,8027,Medium
15188,5760,Medium
15188,9862,Low
15188,14136,Low
15172,11504,Medium
15172,11496,Low
15180,994,Medium
15180,8142,Low
15180,7937,High
15185,6121,High
15181,12548,High
15181,1227,Medium
15588,4542,Medium
15588,1239,Medium
15588,4552,Medium
15184,2369,Low
15184,9124,Medium
15184,8299,Medium
15603,8107,Low
15603,13008,Low
15605,998,Medium
15605,2836,Medium
15605,2833,Low
15196,10066,High
15176,11415,Low
15176,9964,Low
15176,1247,High
15176,3730,Low
15197,14604,Low
15197,14003,High
15197,14605,Medium
15199,5766,Low
15199,13423,Low
15199,4872,Low
15199,14580,Low
15204,1247,Low
15204,2841,Medium
15202,4513,High
15187,1434,High
15190,2728,High
15205,2859,High
15206,6666,High
16023,6300,Medium
16023,5384,Low
16023,9348,Low
15208,7211,High
15208,8025,Low
16020,10002,Low
16020,11114,Low
16020,9983,Low
16020,6025,Medium
16020,10005,Medium
15210,1010,High
15210,6665,Low
15220,9223,Low
15220,6323,Medium
15212,5901,Medium
15212,5,Low
15212,2498,Medium
15221,4519,Low
15221,6751,Low
15221,14418,High
15227,6088,High
15232,5340,High
15232,8150,Low
15232,4928,Medium
15243,4785,Low
15247,9568,Low
15247,13847,Low
15247,13845,Medium
15233,6323,High
15233,10293,Low
15233,7677,Low
15242,4799,Low
15242,13592,Low
15242,11922,Low
15242,2611,Low
15242,12610,Medium
15213,13597,Low
15213,7351,Low
15213,12094,Medium
15246,12626,High
15246,14230,Medium
15245,10285,High
15222,3746,Low
15222,1069,Low
15222,13626,Medium
15222,9904,Low
15235,6713,Low
15235,1881,Medium
15235,5886,Low
15228,1503,High
15230,1866,Medium
15230,5270,Medium
15230,9283,Low
15226,6121,High
15226,12877,Low
15229,6276,Low
15229,13024,Low
15225,849,Low
15225,4372,Medium
15225,12660,High
15211,9908,Low
15211,9906,Medium
15211,7072,Medium
15211,9907,Low
15211,7071,Low
15238,5893,Low
15238,11896,High
15239,13407,High
15249,7216,Low
15249,3928,Medium
15249,7217,Low
15250,9017,Low
15250,6549,Medium
15250,5362,Low
15250,1348,Low
15214,3030,Medium
15214,10878,High
15241,7086,Low
15241,31,Medium
15241,1059,Medium
15241,1287,Medium
15215,8312,Low
15215,7421,Low
15219,17,Medium
15219,1866,Medium
15219,12830,Low
15217,13961,Low
15217,2506,Medium
15217,2510,Medium
15218,1087,Medium
15218,10339,Low
15218,6516,Low
15218,5987,Low
15244,3026,High
15216,12862,Low
15216,4466,Medium
15236,98,Low
15236,1396,Low
15236,14149,High
15264,6741,Low
15264,14408,Low
15264,14410,Low
15252,11683,Low
15252,11690,High
15258,6394,Low
15258,2414,Medium
15258,13880,Low
15258,14757,Low
15271,33,Low
15271,14137,Medium
15285,4501,Low
15285,6526,Low
15285,14293,Medium
15285,1062,Low
15289,3569,Low
15289,4547,Low
15289,11963,Medium
15273,4618,Medium
15273,9870,Low
15273,4619,High
15256,14232,Medium
15256,6853,Medium
15256,6854,Low
15256,11310,Medium
15266,11429,Low
15266,4338,Low
15266,2164,Low
15266,1501,Low
15270,7076,Medium
15270,7081,Medium
15270,7080,Medium
15270,4575,Low
15254,4363,Medium
15254,12666,Medium
15254,4369,Low
15274,9595,Low
15274,7696,Low
15274,11764,High
15880,8521,Low
15880,9753,Low
15880,9203,High
15278,9050,Low
15278,9230,Low
15278,9826,Low
15259,6664,High
15744,11400,Medium
15744,13021,Medium
15744,13022,Medium
15255,14599,Medium
15255,2360,Low
15255,6782,Medium
15265,794,Low
15265,4926,Low
15265,4833,High
15444,4406,Low
15444,4407,Low
15444,4405,Low
15267,5371,Low
15267,992,High
15263,3901,Low
15263,9546,Low
15263,6784,Low
15263,3736,Low
15261,8045,High
15261,6724,Low
15261,11567,Medium
15287,7019,Low
15287,12035,Low
15272,7943,High
15272,1009,Medium
15282,2898,Low
15282,1629,Low
15282,1631,High
15275,9562,Low
15275,14397,Low
15268,6094,High
15268,1760,Medium
15284,1866,High
15284,8184,Medium
15284,9501,Low
15262,6582,Medium
15262,12668,Low
15262,4473,Low
15171,1003,Low
15171,3430,High
15291,1864,Low
15291,2753,Low
15279,8881,Low
15279,4322,High
15283,11396,High
15281,1513,Low
15281,13935,High
15253,9742,Low
15253,11690,High
15253,1479,Low
15257,12922,Medium
15257,10422,Low
15257,8874,Medium
15257,1770,Low
15257,4235,Low
15257,13323,Medium
15257,10424,Low
15260,1464,Low
15260,4862,Medium
15286,5174,Medium
15286,5843,Low
15286,4815,Low
15280,7144,High
15280,2725,Low
15305,4432,Low
15305,6586,Low
15305,8697,Low
15251,154,High
15251,160,Low
15251,11449,Low
15251,4733,Low
15146,10001,Medium
15146,6025,Medium
15146,9983,Low
15146,1566,Low
15318,13203,Medium
15318,14603,Low
15318,14003,Low
15318,8550,Low
15326,11549,Low
15326,6328,Low
15326,9236,Medium
15326,11314,Medium
15293,1871,Low
15293,1339,High
15293,1340,Low
15319,1311,High
15295,9700,Low
15295,9349,Low
15295,10051,Low
15296,8549,Low
15296,786,High
15300,1498,Low
15300,14414,Low
15300,13298,Medium
15300,6760,Low
15321,9230,Low
15321,7090,High
15321,7089,Low
15314,11768,Low
15314,13391,Medium
15329,6665,High
15330,4610,Low
15330,6664,High
15330,5031,Low
15297,14139,Medium
15297,11871,Low
15297,13715,High
15337,14001,Medium
15337,14582,Low
15337,9468,Low
15338,3012,Low
15338,1960,Medium
15338,12511,Low
15298,7257,High
15298,7256,Medium
15298,7258,Low
15299,11644,Medium
15299,3563,Medium
15299,13177,Medium
15311,2550,Low
15311,12421,Medium
15311,4756,Medium
15306,9563,Medium
15306,5496,Low
15306,9140,Low
15306,12830,Low
15306,9428,Medium
15307,5082,Medium
15307,1247,Medium
15307,5083,Medium
15313,5121,Low
15313,14043,Medium
15313,1038,Medium
15317,4255,High
15324,8367,Low
15332,2836,Low
15332,6651,Low
15332,2831,Low
15312,11617,Low
15312,2881,Medium
15312,4927,Low
15312,6544,Medium
15327,12228,Low
15331,6664,High
15308,2725,High
15308,7144,Low
15325,6322,Low
15325,9184,Low
15325,11547,High
15340,11482,Medium
15340,4986,Low
15340,1718,Low
15309,6978,Medium
15309,6247,Low
15309,6264,Medium
15316,12095,Medium
15316,4988,Low
15316,7104,Medium
15315,9255,Medium
15315,9856,High
15315,3351,Low
15322,8097,Low
15322,13878,Low
15322,14758,Medium
15302,3175,Low
15302,14590,Low
15302,1534,Low
15302,14268,Low
15323,229,Low
