target_mean,target_spread,opt_mu,opt_sigma,opt_kappa
0.05499999999999999,2.25,0.08557024084451625,0.24439141473771303,3.579283920175722
0.05499999999999999,2.5,0.0929030821660978,0.14419149018154892,1.0030563688214018
0.05499999999999999,2.75,0.08431849916479414,0.15637731450740955,1.7163152370577277
0.05499999999999999,3.0,0.09376588855504212,0.2335614463846979,0.8807098448755204
0.05999999999999999,1.0,0.06721031674669742,0.23846605585239708,3.514042682900869
0.05999999999999999,1.25,0.06478491998135807,0.15092224760989711,2.81306023536721
0.05999999999999999,1.5,0.07823926625426866,0.23714004394228852,2.965397760696219
0.05999999999999999,1.75,0.06150131738268717,0.23835296084460153,0.5204026232993426
0.05999999999999999,2.0,0.07521980292125678,0.23134945891997227,3.375260820438582
0.05999999999999999,2.25,0.09709824420304766,0.23632045547399505,1.182475200044455
0.05999999999999999,2.5,0.05335369248968195,0.16627226121310193,0.5524027392249817
0.05999999999999999,2.75,0.08013679656629868,0.24138107560321248,0.7656362754098356
0.05999999999999999,3.0,0.03394862227131022,0.1583602662414546,1.0906525186951503
0.06499999999999999,1.0,0.0711282847738555,0.15699678415403323,3.113421481846096
0.06499999999999999,1.25,0.06963162180216277,0.16660922733363623,3.950727655340089
0.06499999999999999,1.5,0.044776377011220864,0.1753740761799906,2.3929309860424577
0.06499999999999999,1.75,0.0832901275868082,0.22232817380103226,1.1284431698515986
0.06499999999999999,2.0,0.05872431972099795,0.23511012601945122,1.4074753068285968
0.06499999999999999,2.25,0.08960080334943549,0.2414051371666398,0.6490952131020324
0.06499999999999999,2.5,0.07207002522406186,0.23782995252729727,2.4975089342622683
0.06499999999999999,2.75,0.05843627765019462,0.1923278327900069,2.629600091842001
0.06499999999999999,3.0,0.06970751503237003,0.16051237555210604,1.564447509659272
0.06999999999999998,1.0,0.07844205727857514,0.22640557842332412,1.9371834040280889
0.06999999999999998,1.25,0.08000599109783682,0.24071813377667137,0.7910783092493656
0.06999999999999998,1.5,0.0806811088304958,0.2003304561888061,2.028667515620646
0.06999999999999998,1.75,0.0594143628549972,0.1907372968217888,0.5879456469904751
0.06999999999999998,2.0,0.08276246621305582,0.2396771050216794,3.1829204244206704
0.06999999999999998,2.25,0.09583156731179968,0.24700710977325813,2.626404077434838
0.06999999999999998,2.5,0.0879878119160199,0.12701584115713915,3.50292136868417
0.06999999999999998,2.75,0.07555268178412997,0.12091124023479038,0.9703365893492437
0.06999999999999998,3.0,0.04525233419258081,0.18156484746767482,0.6956260469603479
0.07499999999999998,1.0,0.08645001058548962,0.21580554626145626,3.8777211259950786
0.07499999999999998,1.25,0.08525711748647563,0.16797279985035546,0.758442618862571
0.07499999999999998,1.5,0.05638999524583394,0.21608068607005107,2.5718750531892667
0.07499999999999998,1.75,0.06473760183972348,0.18682786075612465,3.49857037342605
0.07499999999999998,2.0,0.09718536048078533,0.2011689348615552,0.7254474648831477
0.07499999999999998,2.25,0.08885750627771577,0.16580894392689527,2.4646115934387605
0.07499999999999998,2.5,0.08676613483356437,0.14261944015950256,1.9503667843634223
0.07499999999999998,2.75,0.07197543887404403,0.22159235311746392,2.0619051603052876
0.07499999999999998,3.0,0.07973326981045649,0.1738737088595356,3.1553116384828668
0.07999999999999999,1.0,0.08697577121706819,0.20678772548150348,3.4841655247629206
0.07999999999999999,1.25,0.09705603260681364,0.14825057373291012,2.661834795725505
0.07999999999999999,1.5,0.08924628245135093,0.1468291403972682,1.0139950779981315
0.07999999999999999,1.75,0.06339402345275859,0.19072718777497047,3.083996901146689
0.07999999999999999,2.0,0.08552026296369822,0.16363509098604065,3.450167186626607
0.07999999999999999,2.25,0.0828695765913414,0.19355696896586344,2.2605607497587266
0.07999999999999999,2.5,0.07200942620251508,0.24340969371743165,0.5116878441642376
0.07999999999999999,2.75,0.09217614683200355,0.22782473095875205,0.7756981828512035
0.07999999999999999,3.0,0.0800949141903578,0.15904336864535518,2.3837947402727813
0.08499999999999998,1.0,0.09218400946401976,0.23233389460851073,1.2678205018753792
0.08499999999999998,1.25,0.08624049085418753,0.14580661555571559,2.19469134129605
0.08499999999999998,1.5,0.09080268587239151,0.20353024277991624,3.2346854300164303
0.08499999999999998,1.75,0.08617052348814075,0.248388644540531,1.5256968811325216
0.08499999999999998,2.0,0.06964326598173412,0.18119908009034533,0.9668825006662107
0.08499999999999998,2.25,0.08779369050838784,0.2318823822856992,1.720070328050901
0.08499999999999998,2.5,0.09463707066628993,0.24674894599211977,2.0672536720359536
0.08499999999999998,2.75,0.0792358840934509,0.22009998598685782,2.33483270540204
0.08499999999999998,3.0,0.07322059226204725,0.16515174299633073,3.9640032631380917
0.08999999999999997,1.0,0.09851878527790692,0.13306166968592992,3.3235824564771073
0.08999999999999997,1.25,0.0973576993824645,0.16247448722103333,1.286795999836996
0.08999999999999997,1.5,0.07215517026333497,0.17250378033277672,0.5001354851902398
0.08999999999999997,1.75,0.08177314881637694,0.15774786461358226,2.947763329911494
0.08999999999999997,2.0,0.0979167951915337,0.13092197383343607,2.954079527680541
0.08999999999999997,2.25,0.08220716913224112,0.23505704448931586,1.0234104930768941
0.08999999999999997,2.5,0.06705968441349267,0.2304587527689429,3.5326597807857207
0.08999999999999997,2.75,0.05913403820725864,0.15676833470771537,3.6280441358963627
0.08999999999999997,3.0,0.0879980305820021,0.15147208710431243,1.32148865680975
